city	state	zip	latitude	longitude	avgMurderCount	avgNegligentManSlaughter	avgForcibleSexOffense	avgNonForcibleSexOffense	avgRobbery	avgAggravatedAssault	avgBurglary	avgVehicleTheft	avgArson	avgWeaponOffense	avgDrugViolations	avgLiquorViolations
San Jose	CA	95113	37.333941	-121.89154	0	0	0	0	0	0	0	0	0	0	0	0
San Jose	CA	95119	37.232244	-121.79092	0	0	0	0	33.33	0	0	16.67	0	0	0	0
San Jose	CA	95127	37.369473	-121.82077	0	0	0	0	0	0	0	0	0	0	0	0
San Jose	CA	95128	37.316983	-121.93555	0	0	4.76	0	9.52	0	195.24	85.71	0	9.52	52.38	42.86
San Jose	CA	95131	37.38631	-121.88987	0	0	0	0	0	0	0	0	0	0	0	0
San Jose	CA	95134	37.412539	-121.94461	0	0	0	0	8.33	0	0	0	0	0	0	0
San Jose	CA	95135	37.299474	-121.75446	0	0	0	0	50	50	350	316.67	0	16.67	116.67	66.67
San Jose	CA	95192	37.189396	-121.705327	33.33	0	333.33	0	666.67	666.67	2733.33	1083.33	266.67	850	5750	2300
San Leandro	CA	94577	37.722279	-122.15702	0	0	0	0	0	0	0	0	0	0	0	0
San Leandro	CA	94578	37.703427	-122.128	0	0	0	0	83.33	16.67	66.67	83.33	0	0	0	0
San Luis	AZ	85349	32.494054	-114.77866	0	0	0	0	0	0	0	0	0	0	0	0
San Luis Obispo	CA	93401	35.262548	-120.65196	0	0	0	0	0	0	11.11	0	0	0	0	0
San Luis Obispo	CA	93403	35.347065	-120.455345	0	0	0	0	0	0	133.33	0	16.67	0	333.33	33.33
San Luis Obispo	CA	93405	35.277189	-120.70305	0	0	0	0	0	0	16.67	0	0	0	33.33	0
San Luis Obispo	CA	93407	35.347065	-120.455345	0	0	133.33	0	50	50	1166.67	533.33	316.67	83.33	2616.67	683.33
San Marcos	CA	92069	33.144908	-117.17128	0	0	66.67	0	8.33	33.33	58.33	141.67	16.67	200	450	75
San Marcos	CA	92078	33.122029	-117.15605	0	0	0	0	0	0	16.67	0	0	0	0	0
San Marcos	CA	92096	33.016928	-116.846046	0	0	83.33	16.67	0	66.67	566.67	83.33	16.67	150	833.33	766.67
San Marcos	TX	78666	29.876944	-97.94668	0	0	166.67	0	58.33	166.67	2041.67	75	91.67	25	9808.33	9216.67
San Mateo	CA	94402	37.551586	-122.32773	0	0	8.33	8.33	8.33	0	33.33	58.33	0	8.33	0	25
San Mateo	CA	94403	37.539686	-122.30266	0	0	0	0	0	0	0	0	0	0	0	0
San Pablo	CA	94806	37.972623	-122.33873	0	0	16.67	0	683.33	150	400	916.67	33.33	266.67	1050	66.67
San Rafael	CA	94901	37.972423	-122.51484	0	0	0	0	0	0	416.67	50	0	0	33.33	33.33
San Ramon	CA	94583	37.75735	-121.95213	0	0	0	0	0	0	0	0	0	0	0	0
San Ysidro	CA	92173	32.556264	-117.05057	0	0	16.67	0	0	0	50	50	0	16.67	0	16.67
Sanborn	NY	14132	43.140056	-78.88297	0	0	25	16.67	16.67	0	66.67	8.33	0	58.33	183.33	16.67
Sand Springs	OK	74063	36.139385	-96.16523	0	0	0	0	0	0	0	0	0	0	0	0
Sandersville	GA	31082	32.984529	-82.8375	0	0	0	0	0	0	8.33	0	0	0	0	0
Sandusky	OH	44870	41.42646	-82.71083	0	0	0	5.56	0	0	0	5.56	0	5.56	22.22	0
Sandy	UT	84070	40.581595	-111.88821	0	0	5.56	0	0	0	11.11	5.56	0	0	0	0
Sandy Springs	GA	30328	33.931746	-84.37817	0	0	0	0	0	0	0	0	0	0	0	0
Sanford	FL	32773	28.769173	-81.27631	0	0	0	0	25	25	208.33	125	0	41.67	258.33	50
Sanford	ME	04073	43.426792	-70.75245	0	0	0	0	0	0	0	0	0	0	0	0
Sanford	NC	27330	35.458804	-79.16415	0	0	13.33	0	0	13.33	6.67	6.67	0	0	53.33	26.67
Sanford	NC	27332	35.401023	-79.14419	0	0	0	0	0	0	33.33	100	0	0	0	0
Santa  Ana	CA	92705	33.762117	-117.81828	0	0	0	0	0	0	0	0	0	0	0	0
Santa Ana	CA	92701	33.747017	-117.86248	0	0	0	0	16.67	8.33	29.17	4.17	0	0	4.17	12.5
Santa Ana	CA	92704	33.724167	-117.90623	0	0	0	0	13.33	0	13.33	0	0	0	0	0
Santa Ana	CA	92705	33.762117	-117.81828	0	0	0	0	0	0	5.56	0	0	0	0	0
Santa Ana	CA	92706	33.765916	-117.88139	0	0	66.67	0	116.67	16.67	316.67	500	16.67	33.33	216.67	50
Santa Ana	CA	92708	33.708618	-117.95629	0	0	0	0	0	0	0	33.33	0	0	16.67	0
Santa Barbara	CA	93101	34.420163	-119.7065	0	0	0	0	0	0	0	0	0	0	0	0
Santa Barbara	CA	93103	34.428191	-119.68412	0	0	0	0	0	0	0	0	0	0	0	0
Santa Barbara	CA	93106	34.432896	-119.837072	0	0	900	33.33	200	316.67	3716.67	283.33	183.33	483.33	5383.33	5466.67
Santa Barbara	CA	93108	34.433687	-119.63184	0	0	33.33	0	0	0	550	133.33	0	0	16.67	0
Santa Barbara	CA	93109	34.40323	-119.72069	0	0	33.33	0	33.33	16.67	416.67	16.67	0	0	83.33	0
Santa Clara	CA	95050	37.347791	-121.95131	0	0	0	0	8.33	8.33	0	8.33	0	0	0	0
Santa Clara	CA	95051	37.346241	-121.9846	0	0	0	0	100	66.67	33.33	66.67	0	0	0	0
Santa Clara	CA	95053	37.189396	-121.705327	0	0	283.33	0	0	350	416.67	200	33.33	33.33	66.67	383.33
Santa Clara	CA	95054	37.39324	-121.96066	0	0	16.67	0	33.33	150	616.67	383.33	0	0	66.67	33.33
Santa Clarita	CA	91321	34.377782	-118.51489	0	0	0	0	0	0	383.33	0	0	0	0	0
Santa Clarita	CA	91355	34.406519	-118.56214	0	0	0	0	0	0	33.33	0	0	0	0	0
Santa Cruz	CA	95062	36.9707	-121.99086	0	0	0	0	0	0	0	16.67	0	0	0	0
Santa Cruz	CA	95064	37.000199	-122.06026	0	0	650	0	66.67	283.33	3583.33	300	350	400	533.33	283.33
Santa Fe	NM	87505	35.616662	-105.97926	0	0	28.57	0	33.33	14.29	138.1	14.29	0	14.29	61.9	90.48
Santa Fe	NM	87507	35.615216	-105.952788	0	0	0	0	0	0	0	0	0	0	0	0
Santa Fe	NM	87508	35.469938	-105.754453	0	0	0	0	0	16.67	16.67	0	0	0	16.67	25
Santa Fe Springs	CA	90670	33.933551	-118.06821	0	0	0	0	0	0	0	0	0	0	0	0
Santa Maria	CA	93454	34.900809	-120.34876	0	0	20	0	0	33.33	380	46.67	0	33.33	20	26.67
Santa Maria	CA	93458	34.956344	-120.45243	0	0	16.67	0	16.67	0	0	16.67	0	0	0	0
Santa Monica	CA	90401	34.01491	-118.4922	0	0	0	0	0	0	0	0	0	0	0	0
Santa Monica	CA	90403	34.032159	-118.49022	0	0	0	0	0	0	0	0	0	0	0	0
Santa Monica	CA	90404	34.026959	-118.47432	0	0	0	0	0	0	0	0	0	0	0	0
Santa Monica	CA	90405	34.009276	-118.47286	16.67	0	11.11	0	16.67	61.11	538.89	11.11	0	5.56	188.89	88.89
Santa Monica	CA	90407	33.786594	-118.298662	0	0	0	0	0	0	0	0	0	0	0	0
Santa Paula	CA	93060	34.367474	-119.07317	0	0	0	0	0	0	16.67	0	0	0	0	0
Santa Rosa	CA	95401	38.440111	-122.74563	0	0	50	16.67	41.67	41.67	208.33	75	33.33	33.33	233.33	375
Santa Rosa	CA	95403	38.480494	-122.74976	0	0	0	0	16.67	8.33	25	8.33	0	0	0	0
Santa Rosa	NM	88435	34.862953	-104.81362	0	0	0	0	0	0	0	0	0	0	0	0
