UNITID_P	INSTNM	BRANCH	ADDRESS	CITY	STATE	ZIP	LATITUDE	LONGITUDE
214838001	Pace Institute	PACE INSTITUTE -MAIN CAMPUS	606 COURT ST	READING	PA	19601	40.348092	-75.93577
215585002	Reading Area Community College	Gateway	201 Penn Street Suite 401	Reading	PA	19603	40.388442	-75.963055
215585001	Reading Area Community College	Main Campus	10 South SECOND ST	READING	PA	196031706	40.388442	-75.963055
212391001	Empire Beauty School-Reading	Empire Beauty School - Reading, PA	2302 N 5TH Street Highway	READING	PA	19605	40.390943	-75.9375
210775001	Alvernia University	Main Campus	400 SAINT BERNARDINE ST	READING	PA	196071799	40.302492	-75.95565
213534001	Berks Technical Institute	Berks Technical Institute Main Campus	2205 RIDGEWOOD RD	WYOMISSING	PA	196101168	40.335023	-75.97099
214704001	Pennsylvania State University-Penn State Berks	Berks Campus Penn State	TULPEHOCKEN RD	READING	PA	196106009	40.335023	-75.97099
215594001	Reading Hospital School of Health Sciences	Main Campus	6TH AND SPRUCE ST	WEST READING	PA	196126052	40.4389	-75.885303
210571001	Albright College	ALBRIGHT COLLEGE	1621 N. 13th St.	READING	PA	196125234	40.4389	-75.885303
451051001	Academy of Massage and Bodywork	Academy of Massage and Bodywork	1218 Pulaski Hwy Ste 324	Bear	DE	19701	39.598203	-75.69945
459301001	Paul Mitchell The School-Delaware	Main Campus	1420 Pulaski Hwy	Newark	DE	19702	39.626297	-75.71386
131061001	Schilling-Douglas School of Hair Design	Main Campus	211 Louviers Drive	NEWARK	DE	197114167	39.700561	-75.7431
130916001	Delaware Technical Community College-Stanton/Wilmington	Wilmington-Stanton Campus	400 STANTON-CHRISTIANA RD	NEWARK	DE	197132197	39.669211	-75.71796
450298001	Strayer University-Delaware	Main Campus	240 Continental Dr Ste 108	Newark	DE	19713	39.669211	-75.71796
211088003	Arcadia University	Christiana	111 Continental Drive, Suite 201	Newark	DE	19713	39.669211	-75.71796
130943001	University of Delaware	Main Campus	413 Academy St.	NEWARK	DE	19716	39.564499	-75.597047
131098002	Wesley College	Wesley College - New Castle	13 Read's Way - Suite 100	New Castle	DE	19720	39.669219	-75.59003
131113008	Wilmington University	Wilson Graduate Center	31 Reads Way	New Castle	DE	19720	39.669219	-75.59003
131113001	Wilmington University	Main Campus - New Castle	320 DUPONT HWY	NEW CASTLE	DE	19720	39.669219	-75.59003
431637003	American Beauty Academy	Wilmington Campus	200 W. 9th Street	Wilmington	DE	19801	39.738563	-75.54833
432524001	Delaware College of Art and Design	Main Campus	600 N MARKET ST	WILMINGTON	DE	198013007	39.738563	-75.54833
130916002	Delaware Technical Community College-Stanton/Wilmington	Wilmington Campus	333 Shipley Street	Wilmington	DE	19801	39.738563	-75.54833
167899010	Springfield College	SHS Wilmington, DE	1007 Orange St.,  Suite 500	Wilmington	DE	19801	39.738563	-75.54833
448114004	National Massage Therapy Institute	Wilmington Campus	1601 Concord Pike Ste. 82-84	Wilmington	DE	19802	39.756213	-75.53312
441362001	Harris School of Business-Wilmington Campus	Main Campus	1413 Foulk Road, Suite 100	WILMINGTON	DE	19803	39.793962	-75.53401
244190001	Widener University-Delaware Campus	Delaware Campus	4601 CONCORD PIKE	WILMINGTON	DE	19803	39.793962	-75.53401
130873001	Dawn Career Institute Inc	Main Campus	3700 Lancaster Pike Suite 105	WILMINGTON	DE	19805	39.745377	-75.58251
130943003	University of Delaware	Wilmington	2600 Pennsylvania Avenue	Wilmington	DE	19806	39.758563	-75.56413
130989001	Goldey-Beacom College	Main Campus	4701 LIMESTONE RD	WILMINGTON	DE	198081927	39.734279	-75.6631
130934002	Delaware State University	Wilmington Campus	3931 Kirkwood Hwy	Wilmington	DE	19808	39.734279	-75.6631
131113018	Wilmington University	Brandywine	3509 Silverside Road Talley Building Suite 100	Wilmington	DE	19810	39.817645	-75.50242
444200001	Harris School of Business-Dover Campus	Harris School of Business Dover	97 Commerce Way	DOVER	DE	19901	39.16426	-75.51163
130907001	Delaware Technical Community College-Terry	Terry Campus	100 CAMPUS DRIVE	DOVER	DE	19901	39.16426	-75.51163
131113006	Wilmington University	Dover	3282 North DuPont Highway	Dover	DE	19901	39.16426	-75.51163
131098001	Wesley College	Wesley College	120 N STATE ST	DOVER	DE	199013875	39.16426	-75.51163
130934001	Delaware State University	Main Campus	1200 N. Dupont Highway	Dover	DE	199012202	39.16426	-75.51163
131113002	Wilmington University	Dover Air Force Base	520 Main Gate Way	Dover	DE	19902	39.131958	-75.46953
449472001	Delaware Learning Institute of Cosmetology	Main Campus	32448 Royal Blvd. Suite A	Dagsboro	DE	199395407	38.557501	-75.21465
130891001	Delaware Technical Community College-Owens	Owens Campus	Seashore Highway	GEORGETOWN	DE	19947	38.676552	-75.39269
131113004	Wilmington University	Georgetown	William Carter Partnership Center Seashore Highway	Georgetown	DE	19947	38.676552	-75.39269
130934003	Delaware State University	Georgetown Campus	Route 18	Georgetown	DE	19947	38.676552	-75.39269
130837001	Beebe Medical Center Margaret H Rollins School of Nursing	Main Campus	424 SAVANNAH RD	LEWES	DE	19958	38.746207	-75.16282
130943002	University of Delaware	Lewes	700 Pilottown Road	Lewes	DE	19958	38.746207	-75.16282
131113017	Wilmington University	Rehoboth	41 Rehoboth Avenue	Rehoboth Beach	DE	19971	38.711512	-75.09677
160320009	Aveda Institute-Covington	Aveda Institute - Washington D.C.	713 7th Street NW	Washington	DC	20001	38.907711	-77.01732
450483001	University of Phoenix-Washington DC Campus	University of Phoenix-Washington DC Campus	25 Massachusetts Avenue NW	Washington	DC	200011431	38.907711	-77.01732
131496002	Georgetown University	Georgetown University Law Center	600 New Jersey Avenue, N.W.	Washington	DC	20001	38.907711	-77.01732
131469011	George Washington University	Capitol Hill Hall of States Building	444 North Capitol Street	Washington	DC	20001	38.907711	-77.01732
131450001	Gallaudet University	Main Campus	800 FLORIDA AVE NE	WASHINGTON	DC	200023695	38.901811	-76.99097
420370001	Career Technical Institute	Career Technical Institute	1101 Vermont Ave. NW Suite L002	Washington	DC	20005	38.904461	-77.03088
481119001	Radians College	Main Campus	1025 Vermont Avenue, NW	Washington	DC	200053542	38.904461	-77.03088
384412001	University of the Potomac-Washington DC Campus	Main Campus	1401 H Street, NW	WASHINGTON	DC	20005	38.904461	-77.03088
131803001	Strayer University-District of Columbia	Main Campus	1133 15TH ST NW	WASHINGTON	DC	20005	38.904461	-77.03088
147767004	Northwestern University	Medill's Washington D.C. Campus	1325 G. Street NW	Washington D.C.	DC	20005	38.904461	-77.03088
459745001	The Chicago School of Professional Psychology at Washington DC	Main Campus	901 15th St NW	Washington	DC	20005	38.904461	-77.03088
231068002	SIT Graduate Institute	SIT Graduate Institute DC Center	1015 15th St. NW	Washington	DC	20005	38.904461	-77.03088
193900018	New York University	NYU in Washington, DC	1307 L Street, NW	Washington	DC	200054112	38.904461	-77.03088
444893001	Technical Learning Centers Inc	Main Campus	1720 I St NW Suite 200	WASHINGTON	DC	20006	38.897567	-77.04195
121150015	Pepperdine University	Washington DC	2011 Pennsylvania Ave	Washington DC	DC	20006	38.897567	-77.04195
131308001	Corcoran College of Art and Design	Main Campus	500 17TH ST NW	WASHINGTON	DC	200064804	38.897567	-77.04195
131830001	National Conservatory of Dramatic Arts	Main Campus	1556 WISCONSIN AVE NW	WASHINGTON	DC	20007	38.913961	-77.07179
131469002	George Washington University	Mount Vernon Campus	2100 Foxhall Road	Washington	DC	20007	38.913961	-77.07179
131308002	Corcoran College of Art and Design	Georgetown Campus	1801 35th St NW	Washington	DC	20007	38.913961	-77.07179
196413016	Syracuse University	Greenberg House, Washington, D.C. Campus	2301 Calvert Street N.W.	Washington DC	DC	20008	38.934866	-77.06039
243744002	Stanford University	Stanford in Washington	2661 Connecticut Ave, N.W.	Washington	DC	20008	38.934866	-77.06039
131520006	Howard University	Law School (West) Campus	2900 Van Ness Street NW.	Washington	DC	20008	38.934866	-77.06039
363721001	University of the District of Columbia-David A Clarke School of Law	Flagship/Main Campus	4200 CONNECTICUT AVENUE, N.W.	WASHINGTON	DC	20008	38.934866	-77.06039
131399001	University of the District of Columbia	Van Ness Campus (Main/Flagship)	4200 Connecticut Avenue, N.W.	Washington	DC	200081122	38.934866	-77.06039
131803008	Strayer University-District of Columbia	Takoma Park Campus	6830 LAUREL ST NW	WASHINGTON	DC	20012	38.97808	-77.02858
131973001	Wesley Theological Seminary	Wesley Theological Seminary	4500 MASSACHUSETTS AVE NW	WASHINGTON	DC	200165690	38.94081	-77.08723
131159003	American University	Washington College of Law	4801 Massachusetts Ave, NW	Washington	DC	20016	38.94081	-77.08723
131159002	American University	Tenley Campus	4300 Nebraka Avenue, N.W.	Washington	DC	200168068	38.94081	-77.08723
131159001	American University	Main Campus	4400 Massachsetts Avenue, NW	Washington	DC	200168068	38.94081	-77.08723
439473001	Bennett Career Institute	Main Campus	700 MONROE ST NE	WASHINGTON	DC	20017	38.937478	-76.99125
131876001	Trinity Washington University	Trinity	125 Michigan Avenue, N.E.	Washington	DC	200171094	38.937478	-76.99125
131405001	Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies	Main campus	487 Michigan Ave, NE	Washington	DC	200171585	38.937478	-76.99125
131520005	Howard University	Divinity School (East) Campus	1400 Shepherd Street NE	Washington	DC	20017	38.937478	-76.99125
179894049	Webster University	Bolling Air Force Base	112 Brookley Avenue Building 11	Bolling AFB	DC	200320502	38.836145	-77.00058
162928007	Johns Hopkins University	JHU Washington Centers, DC	1619, 1625, 1717, 1740 & Massachusetts Ave   NW	Washington	DC	200361903	38.906778	-77.04148
455804001	Institute of World Politics	Main Campus	1521 16th St NW	Washington	DC	20036	38.906778	-77.04148
153384003	Grinnell College	Grinnell In Washington D.C.	1779 Massachusetts AVe, NW Suite 705	Washington	DC	20036	38.906778	-77.04148
231624003	College of William and Mary	DC Campus	1779 Massachusetts Avenue Suite 715	Washington	DC	20036	38.906778	-77.04148
110635003	University of California-Berkeley	University of California Washington Academic Cente	1608 Rhode Island Avenue	NW Washington	DC	20036	38.906778	-77.04148
230038003	Brigham Young University-Provo	BYU Washington D.C. Seminar	2520 L St  NW	Washington	DC	20037	38.900394	-77.05126
131742003	Medtech Institute	Medtech College - Washington, DC Campus	529 14th Street NW, Suite F-10	Washington	DC	20045	38.896599	-77.0319
131469001	George Washington University	Main Campus	2121 EYE ST NW	WASHINGTON	DC	20052	38.90014	-77.047899
131496001	Georgetown University	Georgetown University Main Campus	37TH AND O ST NW	WASHINGTON	DC	20057	38.893311	-77.014647
131520001	Howard University	Howard University Main Campus	2400 Sixth St. NW	Washington	DC	200590001	38.893311	-77.014647
455813001	Pontifical John Paul II Institute for Studies on Marriage and Family	Main Campus	620 Michigan Ave NE McGivney Hall	Washington	DC	200640001	38.933161	-76.996348
131283001	Catholic University of America	The Catholic University of America	620 Michigan Avenue, NE	WASHINGTON	DC	20064	38.933161	-76.996348
467605001	Regency Beauty Institute-Manassas	Regency Beauty Institute	11740 Sudley Manor Drive	Manassas	VA	201090000	38.790202	-77.51294
